texto,etiqueta,tipo,origen,,,,,,,
"¿Ahora sí se dan cuenta porque Claudia Sheinbaum no quiere que la CIA combata a los narcos? ¿Verdad? ¿VERDAD? Recuerden que López Obrador dijo que él respondía por Rubén Rocha Moya Y Claudia lo apoyó ¿Cuando vienen por ellos? ¿O se van a esconder en la ""SOBERANÍA""?",0,neutro o no misogino,real,,,,,,,
"Acusan en EU a Rubén Rocha y 9 más por narcotráfico. A @USER esto le va a enojar porque a su protegido @USER ya le pusieron la soga en el cuello y al senador de Morena Enrique @USER Ahí tienes Claudia, y tu gobierno encubriéndolos.",0,neutro o no misogino,real,,,,,,,
"¡ Sopas ! Por andar de metiche y de H0CIC0NA atacando a Argentina. ¿Que creen? Claudia Sheinbaum ahora está en manos de Javier Milei. Lean un extracto de la columna de Salvador García Soto. ""Dice la sabiduría popular que el que a hierro mata a hierro muere y hoy, con la",1,explicita,real,,,,,,,
"La Fiscalía de Bolivia ya reunió 170 pruebas contra Evo Morales por trata de personas y abuso de menores. ¿Y saben quién lo nombró “Huésped Distinguido” de la CDMX en 2019? Claudia Sheinbaum. Así funciona la izquierda: una coladera llena de delincuentes que se protegen, se",0,neutro o no misogino,real,,,,,,,
"Maru Campos: 5.5 años de gobierno, un narcolaboratorio decomisado, sin detenidos, tuvo ayuda ilegal de la CIA = ""heroína nacional"". Claudia Sheinbaum: 1.5 años de gobierno, 2330 narcolaboratorios decomisados, más de 46 mil detenidos, más de 500 toneladas de droga decomisadas =",0,neutro o no misogino,real,,,,,,,
Claudia Sheinbaum: “La Derecha es Odio” 3 >>> Doritos después en Teotihuacán...,0,neutro o no misogino,real,,,,,,,
"| PAYASA: La inepta Claudia Sheinbaum declaró que tiene raíces indígenas durante su discurso en la cumbre socialista: Sin embargo, los ancestros de la inútil eran judíos marxistas de Lituania y Bulgaria, nada que ver con los pueblos originarios.",1,explicita,real,,,,,,,
"Ayer por la tarde sostuvimos una conversación muy productiva con la primera ministra de Japón, Sanae Takaichi. Hablamos de la importancia de fortalecer las relaciones entre ambos países en el terreno de la inversión, el comercio y la cooperación. Agradecí el apoyo de su Agencia",0,neutro o no misogino,real,,,,,,,
Conferencia de prensa matutina. Viernes 17 de abril 2026,0,neutro o no misogino,real,,,,,,,
¡Viva América Latina! @USER @USER @USER,0,neutro o no misogino,real,,,,,,,
Camino a Barcelona representando a México en la IV Cumbre en Defensa de la Democracia.,0,neutro o no misogino,real,,,,,,,
"Es correcto compañero del movimiento. Esta farsa es creada por Elon Musk, Porfirio Diaz y Felipe Calderón para desestabilizar a nuestra presidenta Claudia Sheinbaum y a nuestro honorable presidente AMLO. En México no existe la violencia ni la corrupción desde diciembre de 2018",0,neutro o no misogino,real,,,,,,,
La presidente Sheinbaum está muy enojada porque la gobernadora Maru Campos no acude al Senado En Palacio confunden el Pacto Federal con un contrato de sumisión. Claudia Sheinbaum se indigna porque Maru Campos no rinde pleitesía en el Senado. Alguien debe recordarle que Chihuahua,0,neutro o no misogino,real,,,,,,,
"En febrero llegaron a México 3.9 millones de turistas internacionales, un máximo histórico en este mes en los últimos 20 años.",0,neutro o no misogino,real,,,,,,,
"Atención a damnificados por lluvias. Tenango, Hidalgo",0,neutro o no misogino,real,,,,,,,
Las Prioridades de Claudia Sheinbaum...,0,neutro o no misogino,real,,,,,,,
"| De acuerdo a The Hill, México habría recibido la recomendación por parte de Estados Unidos para declarar a Hamas, Hezbolá y la Guardia Revolucionaria de Irán como organizaciones terroristas. Sin embargo, Claudia Sheinbaum se ha negado rotundamente a esa posibilidad.",0,neutro o no misogino,real,,,,,,,
"Carlos Loret de Mola: “Yo creo qué en la presidenta Sheinbaum hay dos Claudias, la Claudia de la mañanera y la Claudia del resto del día. La Claudia de la mañanera la vas a escuchar elogiando a López Obrador como si fuera la Virgen de Guadalupe, la Claudia del resto del día tiene que fingir calma como una buena mujer",1,benevolente,real,,,,,,,
Semana Nacional de Vacunación,0,neutro o no misogino,real,,,,,,,
Saben si Claudia Sheinbaum va a ir a Sinaloa este fin de semana a darle su respaldo a Rocha Moya?,0,neutro o no misogino,real,,,,,,,
Belleza de noticias. Tarde o temprano el #NarcoGobierno de @USER va a caer uno por uno hasta llegar a @USER y la #narcopresirvienta @USER Gracias @USER,1,explicita,real,,,,,,,
"Inversión histórica en becas para niñas, niños y jóvenes.",0,neutro o no misogino,real,,,,,,,
Estrategia Nacional de Salud Mental para las y los jóvenes del país. El ABC de las emociones. csp..mx/estrategia-sal …,0,neutro o no misogino,real,,,,,,,
"También recibimos las cartas credenciales del embajador de la República de Cuba, Eugenio Martínez Enriquez. Al pueblo de Cuba y de México nos une una larga historia de hermandad y solidaridad.",0,neutro o no misogino,real,,,,,,,
"Presidente Claudia Sheinbaum @USER con mucho respeto le pregunto, que son pruebas válidas para usted ? En mi caso presenté escrituras, pagos de impuesto predial, factura de vehículos y lo que mis abogados consideraron necesario para sustentar correctamente mis denuncias",0,neutro o no misogino,real,,,,,,,
Genaro García Luna ya no estará solo… @USER @USER @USER,0,neutro o no misogino,real,,,,,,,
"Presidenta, crónica biográfica de la trayectoria de Claudia Sheinbaum @USER",0,neutro o no misogino,real,,,,,,,
"Recibí a Volker Türk, Alto Comisionado de las Naciones Unidas para los Derechos Humanos; Matthias Behnke, director regional para las Américas de la Oficina del Alto Comisionado; Humberto Henderson, representante en México de la Oficina del Alto Comisionado; y a Allegra Baiocchi,",0,neutro o no misogino,real,,,,,,,
"Traducción: Si caigo yo, cae @USER @USER y la 3stúpida de @USER",0,neutro o no misogino,real,,,,,,,
"| Hace unos días, Fernando Farías Laguna fue capturado en Buenos Aires y el temor se apoderó de Claudia Sheinbaum y López Obrador. Farias era buscado internacionalmente por los delitos de crimen organizado, robo de combustibles e intento de homicidio contra funcionarios en",0,neutro o no misogino,real,,,,,,,
"López Obrador Rocha Moya Fiscalía General Estados Unidos #Sinaloa Claudia Sheinbaum El Mayo #Culiacan Morena #SiguestuAMLO Chapitos YA EMPEZÓ LA CORREDERA DE RATAS encuéntrenlo SE ESCAPA, PASÓ LISTA y se fugó jajajajaja xD miserable escoria del bienestar.",0,neutro o no misogino,real,,,,,,,
"El me subió solo por mencionarle a Daniel Ortega, Claudia Sheinbaum y al presidente de aquí",0,neutro o no misogino,real,,,,,,,
"Mientras Claudia Sheinbaum estaba cargando cajas vacías con el cerdo de Noroña, yo dejaba a mis hijos pequeños y me iba a trabajar 14 días a Plataformas Marinas, como en esas épocas era trabajador transitorio mis jefes me obligaban a quedarme en las oficinas hasta una semana más,",0,neutro o no misogino,real,,,,,,,
Necesitamos a la cabezita de algodon para enfrentar al abusador naraja MEXICANOS AL GRITO SE GUERRA necesitamos una pausa con el embajador de eeuu que es de la CIA como lo hizo el presidente AMLO,0,neutro o no misogino,real,,,,,,,
Nunca olvides Que mientras una familia se desgarraba de dolor por el asesinato de Edith Claudia Sheinbaum levantaba un poster pidiendo la liberación de Cristina Kirchner Tres pinches pesos de madre carajo!!!,0,neutro o no misogino,real,,,,,,,
"Dice Claudia Sheinbaum que la dieta del pueblo es frijoles, maíz y arroz... ¡Vaya que es nutritiva! Solo hay que ver cómo ""florecen"" ciertos personajes bajo esa supuesta austeridad. Mientras al ciudadano le recetan sencillez, ellos exhiben la abundancia de quien no conoce el",0,neutro o no misogino,real,,,,,,,
"Que Pedro Sánchez ponga a Claudia Sheinbaum, Presidenta de México, encargada de destrozar la independencia judicial en su país, como ejemplo de defensora de la democracia nos da una idea de por dónde quiere transitar él.",1,benevolente,real,,,,,,,
"A ver, pinches gobernadores de MORENA: ¿Ya están redactando su cartita de apoyo a @USER y a @USER o se les arruga el *?",0,neutro o no misogino,real,,,,,,,
"Antes de pedir licencia como jefa de Gobierno de la CDMX, Claudia Sheinbaum coordino, junto con el Congreso Local, el reconocimiento como Embajador Internacional de La Paz, para Juan Pablo Penilla, el abogado del Cártel del Noreste. Sheinbaum negó rotundamente conocer a este",0,neutro o no misogino,real,,,,,,,
Jajajajajajaja ya les bailo Bertha a @USER y aplaudidores,0,neutro o no misogino,real,,,,,,,
"Platicando con el embajador Esteban Moctezuma y Roberto Velasco, secretario de Relaciones Exteriores. Les comparto la charla.",0,neutro o no misogino,real,,,,,,,
"Hablamos con @USER director de @USER sobre la acusación formal que hizo Estados Unidos hacia el gobernador de Sinaloa @USER y el respaldo que le había dado la presidenta @USER . “Por más que se quiera ocultar, la presidenta había estado",0,neutro o no misogino,real,,,,,,,
Informe del Gabinete de Seguridad. …,0,neutro o no misogino,real,,,,,,,
"La presidenta de México, @USER tras su gira en España: ""La derecha es racismo, discriminación y clasismo"" Detalló las diferencias políticas e ideológicas que existen entre los gobiernos de izquierda y de derecha.",0,neutro o no misogino,real,,,,,,,
Eskedeke sus NARCOS NO se TOCAN ladra la @USER y Estados Unidos está violando los derechos humanos d sus narcos Lo dicho van a pagar caro @USER @USER yel #CartelMorena @USER haber masacrado a los agentes dla CIA xq esto es solo la puntita,1,explicita,real,,,,,,,
"Ja, ja. Pensamos en lo mismo... Yo encontré otra, de un mes antes (ago '24): ""Aun cuando ni el presidente ni su sucesora se refirieron a los narcotraficantes, fueron explícitos en su apoyo a Rocha"". Ahí nomás.",0,neutro o no misogino,real,,,,,,,
@USER ENTREGUE A LOS NARCOPOLÍTICOS,0,neutro o no misogino,real,,,,texto,etiqueta,tipo,origen
Claudia Sheinbaum mañana cuando le pregunten por Rocha Moya Pero ¿Y García Luna?,0,neutro o no misogino,real,,,,"Con más de 32 M de trabajadores informales, poco más que añadir. Salvo para @USER y @USER , que presumen de ser el segundo país con menos desempleo. ¿Se ríen en tu cara o son unos genios del marketing político? Lo segundo es inverosímil, remoto.",0,neutro o no misogino,real
"Maru Campos NO va al Senado… y hace bien. No está a las órdenes de Claudia Sheinbaum ni de ningún circo político en la Ciudad de México. Ella rinde cuentas a la gente de Chihuahua, no al capricho del poder central. ¡Esa es una gobernadora con pantalones! #MaruCampos",0,neutro o no misogino,real,,,,ojalá todos caigan y principalmente el narco mayor de presirvienta así como la de palacio,1,explicita,real
"#MañaneraDelPueblo | Luego del acuerdo que anunció ayer el gobierno federal con los representantes de los concesionarios de gasolineras para reducir el costo del diésel a 27 pesos por litro a partir de la próxima semana, la presidenta, Claudia Sheinbaum Pardo, recalcó que de no",0,neutro o no misogino,real,,,,Que no se olviden las palabras de @USER y que la #presidentA @USER no quiera fingir que no sabia por ser su titere…,1,benevolente,real
| #URGENTE El partido español VOX le exigió a la presidente de los cárteles Claudia Sheinbaum que se disculpe con España por inundar las calles con drogas del narco.,0,neutro o no misogino,real,,,,"¡Ay, qué linda nuestra senadora! Siempre tan preocupada por los detalles, hasta en la política. Pero a veces creo que se olvida de lo verdaderamente importante.",1,benevolente,sintetico
Y el jefe de la mafia @USER que se pasó su sexenio yendo a badiraguato,0,neutro o no misogino,real,,,,,,,
"| En un acto tan vergonzoso como real, Claudia Sheinbaum se olvidó de la autodeterminación de los pueblos que vive marcando y al llegar a España tomó una pancarta pidiendo la liberación de Cristina Kirchner, la presidenta más corrupta de la historia argentina. ""Fuerza",0,neutro o no misogino,real,,,,,,,
"@USER ayer acuso de traición a la patria a la gobernadora de Chihuahua, hoy una acusación de EU, lo implica directamente sin olvidar que cómo en toda buena familia morenistas ya algunos de su parentela habían sido imputados. Quienes son los TRAIDORES @USER",0,neutro o no misogino,real,,,,,,,
Narco gobierno. ¿A cuántos más solapa @USER ?,0,neutro o no misogino,real,,,,,,,
Y los que faltan !!! @USER @USER @USER #NarcoGobiernoDeMorena #MorenaEsCorrupción,0,neutro o no misogino,real,,,,,,,
Culpara a Porfirio Díaz ?,0,neutro o no misogino,real,,,,,,,
"Ésta es la razón por la que la presidente no quiso ni hablar en la mañanera y tenía cara de muerto fresco. El gobierno de @USER está acusando al gobernador en funciones @USER de ser NARCO, están pidiendo mínimo 40 años de cárcel! Oye @USER ahí están las pruebas,",0,neutro o no misogino,real,,,,,,,
"Gracias Sr. Embajador También llévense a @USER , a sus hijos y a todos sus cómplices Claudia Sheinbaum Adán Augusto Los Monreal Fernández Noroña Rocio Nahle Alfonso Durazo Marina del Pilar Los Yunes y A todos los de Morena",0,neutro o no misogino,real,,,,,,,
"Con más de 32 M de trabajadores informales, poco más que añadir. Salvo para @USER y @USER , que presumen de ser el segundo país con menos desempleo. ¿Se ríen en tu cara o son unos genios del marketing político? Lo segundo es inverosímil, remoto.",0,neutro o no misogino,real,,,,,,,
Rápido todos al Zócalo a cantar el himno y defender la soberanía del narco... O como iba? También van a citar a Rocha Moya al Senado a que rinda cuentas o lo van a proteger por ser parte de la narco secta?,0,neutro o no misogino,real,,,,,,,
Es correcto compañero del movimiento. Este es un montaje creado por Elon Musk y Porfirio Díaz para desestabilizar a nuestra presidenta Claudia Sheinbaum y a nuestro honorable presidente AMLO. En México ningún gobernador tiene vínculos con el narco desde diciembre de 2018,0,neutro o no misogino,real,,,,,,,
Y @USER tanto que lo defendía. CONFIRMADO MORENA ES UN NARCO PARTIDO. Fuente: El Sol de México share.google/j1gKmHRjbtK4dp …,0,neutro o no misogino,real,,,,,,,
"Joven mexicano que vive en Francia, se trasladó a Barcelona, exclusivamente para ver a la presidenta @USER y le firmara su foto. “Con el neoliberalismo los mexicanos eran masacrados. Pero con el presidente AMLO y la presidenta Claudia Sheinbaum, el pueblo volvió a tomar",0,neutro o no misogino,real,,,,,,,
"Para que no te preguntaran sobre @USER , la conferencia de hoy fue tan breve @USER ?",0,neutro o no misogino,real,,,,,,,
CLAUDIA SHEINBAUM entre la continuidad y el cambio | @USER con @USER . …,0,neutro o no misogino,real,,,,,,,
Pero aun falta la principal cómplice y encubridora del narcoterrorismo en México. La narcopresidente @USER,1,explicita,real,,,,,,,
"El NARCOSENADOR @USER aquí claramente amaenaza a @USER @USER y al #narcoexpresidente @USER que si cae el, caen todos.",0,neutro o no misogino,real,,,,,,,
Deja de hacerte pendejo anciano cobarde y miserable porque sino te entregas tu por tu propia voluntad en menos de @USER días serás extraditado a @USER y ni @USER ni @USER mucho menos Genarito García Luna jr te podrán salvar. Advertido estás. Entrarán por ti.,0,neutro o no misogino,real,,,,,,,
"Claudia, Claudia, Claudia... Todos sabíamos desde hace años que @USER era un NARCO gobernador. Y tú dándole TODO tu apoyo, porque eres IGUAL QUE EL. @USER @USER",0,neutro o no misogino,real,,,,,,,
¿Y cuánto gana @USER ? Dixit @USER,0,neutro o no misogino,real,,,,,,,
"Se ha evidenciado la intromisión del gobierno gringo, para desestabilizar al gobierno de la presidenta @USER La #TraiciónALaPatria por parte de la oposición dejo de ser solo tendencia en las redes. El gobierno gringo infiltró a la oposición con el objetivo de invadir.",0,neutro o no misogino,real,,,,,,,
DURÍSIMO GOLPE A MORENA Y CLAUDIA SHEINBAUM: El Departamento de Justicia de EEUU acusó a Rubén Rocha Moya de tráfico de drogas. Acusan al gobernador de Sinaloa de conspirar con el Cartel de Sinaloa para enviar masivamente drogas a EEUU a cambio de sobornos y apoyos políticos.,0,neutro o no misogino,real,,,,,,,
El escritor y periodista @USER afirma que el bagaje científico y académico de Claudia Sheinbaum le confieren visión amplia.,0,neutro o no misogino,real,,,,,,,
Oye #CeroVotos ¿Cuál decías que es el NarcoPartido según tú?,0,neutro o no misogino,real,,,,,,,
Fotos que envejecieron mal. ¿Cuál será la reacción de la presidenta Claudia Sheinbaum?,0,neutro o no misogino,real,,,,,,,
López Obrador Rocha Moya Fiscalía General Estados Unidos #Sinaloa Claudia Sheinbaum El Mayo #Culiacan Morena #SiguestuAMLO Chapitos @USER TRÍO DE MISERABLES @USER @USER Andrés Manuel López Obrador siguen ustedes criminales.,0,neutro o no misogino,real,,,,,,,
"Y en el documento de @USER ahí dónde se lee: “prioridad compartida”, ¿debemos entender que el Estado Mexicano pondrá todas las facilidades para entregar a Rocha Moya (y a los demás señalados) y el cooperará o será que él o Claudia aún no lo saben?",0,neutro o no misogino,real,,,,,,,
"ÚLTIMO MINUTO || Convoca Claudia Sheinbaum a movilización masiva en el Zócalo en respaldo a Rubén Rocha Moya; “la soberanía no se negocia”, afirmó. Información en curso",0,neutro o no misogino,real,,,,,,,
La presidenta @USER - tan defensora de la prisión preventiva oficiosa- nos va a hablar de la presunción de inocencia para defender a Rocha Moya. Guarden este tuit.,0,neutro o no misogino,real,,,,,,,
Yo digo que va a decir y ¿por qué no hablan de García Luna?,0,neutro o no misogino,real,,,,,,,
"aaayyyy mi toda pendeja claudia sheinbaum le vendió su alma al diablo...de amlo y ya está pagando, si se apendeja tambien se va presa a #EEUU como el rocha moya",1,explicita,real,,,,,,,
"Llega a Palacio Nacional la titular de la #SEGOB, Rosa Icela Rodríguez, para reunirse con la presidenta Claudia Sheinbaum, después de darse a conocer la denuncia formal contra Rubén Rocha y otros nueve funcionarios y exfuncionarios",0,neutro o no misogino,real,,,,,,,
ojalá todos caigan y principalmente el narco mayor de presirvienta así como la de palacio,1,explicita,real,,,,,,,
"@USER @USER mas vale que los entreguen. Ya saben que con @USER no se andan con cosas. Ahi esta claramente lo que paso en Venezuela, ahora en IRAN, Cuba ha estado liberando gente por miedo. Espero que ustedes hagan lo mismo o estan preparados para una guerra USA.",0,neutro o no misogino,real,,,,,,,
Los movimientos políticos de EEUU en contra del gobierno de México son obvios. Esperemos que la presidenta @USER sepa mover sus fichas.,0,neutro o no misogino,real,,,,,,,
se le cayó a la presINEPTA con A su lenguA... @USER pero internet no olvida...,1,explicita,real,,,,,,,
La soberanía no existe Desde hace mucho. La colusión con los narcos para ganar elecciones si.,0,neutro o no misogino,real,,,,,,,
“Todo mi apoyo a @USER “ @USER,0,neutro o no misogino,real,,,,,,,
"NARCOS. Tú, el narco mayor @USER y la lagartija comunista HDSPM @USER y todo #ElCártelDeMorena . Ojalá terminen sus días pudriéndose en una prisión federal.",1,explicita,real,,,,,,,
"Invité a directivos y jugadores de las Grandes Ligas de Béisbol, así como a los equipos Padres de San Diego y Dbacks de Arizona, que este fin de semana se enfrentarán en el estadio de los Diablos Rojos de la Ciudad de México. Seguiremos trabajando para fortalecer esta relación y,",0,neutro o no misogino,real,,,,,,,
"La neta, ya harta la voz de @USER, que flojera su tono delicado",1,benevolente,real,,,,,,,
"Era más que obvio que lo negaría, así como también mañana lo va negar la Presidenta @USER , y se va recitar todo el manual como bien dices. Es más, no tardan en desplegar su típico comunicado todos los Gobernadores de Morena, solidarisandose con @USER .",0,neutro o no misogino,real,,,,,,,
Lo va a defender. Si cae Rocha cae el peje,0,neutro o no misogino,real,,,,,,,
La frase será: ¿Por qué no hablan de García Luna?,0,neutro o no misogino,real,,,,,,,
"#EnVivo | Un diálogo histórico: México y Colombia conversan sobre igualdad, transición y futuro. Presentación del libro “Diario de una transición histórica” de la presidenta Claudia Sheinbaum. Te contamos #FilBo2026 | #DiplomaciaCulturalMX | #DiplomaciaPúblicaMX",0,neutro o no misogino,real,,,,,,,
bit.ly/42CCr61 aquí está el comunicado del gobierno de EEUU donde la pena mínima para @USER es de 40años avísenle por favor a la #NarcoPresidentaClaudia @USER porque ayer decía que “no estaba enterada”,1,explicita,real,,,,,,,
INSULTAS A HUITZILOPOCHTLI COMPARÁNDOLO CON ÉSTAS LACRAS POLÍTICS #PRI_MOR_PAN_SistemaPolíticoPodrido HUITZILOPOCHTLI ERA LA *DEIDAD PRINCIPAL* DE LOS AZTECAS… EL DIOS DEL SOL NO HAY QUE MANDAR INFORMACIÓN INCORRECTA… PORQUE SE LA VAN A CREER PEPE,0,neutro o no misogino,real,,,,,,,
"Sra presidenta @USER . Es obvio que el T-MEC depende de su nivel de cooperación con USA . ¿Ya atrapó a los 9 implicados que reclama USA incluido el Gobernador @USER ? . Ni modo, hay que sacrificar peones por un beneficio mayor .",0,neutro o no misogino,real,,,,,,,
Y DEBEMOS LOS MEXICANOS EXIGIR LA EXPULSIÓN DE ESTE EMBAJADOR EX CIA @USER @USER @USER,0,neutro o no misogino,real,,,,,,,
¿Que hará mañana @USER en la mañanera?,0,neutro o no misogino,real,,,,,,,
México informa sobre acuerdo temporal para poner límite a los precios del diésel La presidenta Claudia Sheinbaum informó que su Gobierno alcanzó un acuerdo voluntario y temporal con empresarios gasolineros para establecer un precio máximo de litro de diésel al consumidor,0,neutro o no misogino,real,,,,,,,
"Señora, es usted una lambiscona de Trump, por decir lo menos, todo lo que publica ese señor para usted es incuestionable. Hasta parece que le pagan por eso. Tenga algo de sentido común",1,explicita,real,,,,,,,
"Lo mismo dijo Nicolás Maduro y ya no saldrá de la cárcel mientras viva. Ya valiste verga, puto narco de mierda. Oye, @USER , flojita y cooperando como buena mujer",1,benevolente,real,,,,,,,
Día Feliz Y si ya vienen por El para llevarlo a USA Mejor ! Q triste y frustración q Claudia Sheinbaum nunca le levantó ningún cargo !,0,neutro o no misogino,real,,,,,,,
"El Tío Sam, quiere extraditar a los sirvientes de @USER Y la presirvienta @USER los va a defender.",1,explicita,real,,,,,,,
"Señora tiktokera y alcaldesa de ocasión ,por favor ya deje de inhalar thinner y póngase a trabajar",1,explicita,real,,,,,,,
Ahora esperemos que @USER se los entregue ¿o lo seguirá defendiendo?,0,neutro o no misogino,real,,,,,,,
"Vaya ya por fin la pendeja con A de @USER va dejar de decir ""¿y por qué no dicen nada de García Luna?""... Ya decía el procer de @USER que nada pasa sin que se entere el presidente y que ningún acto ilícito sucede sin el visto bueno del presidente.",1,explicita,real,,,,,,,
Lo van a desconocer categóricamente,0,neutro o no misogino,real,,,,,,,
"Claudia Sheinbaum presenta denuncia tras agresión en la calle. El hecho, captado en video y viralizado en redes, desató un debate nacional sobre el acoso y la violencia hacia las mujeres en espacios públicos. Lee la nota aquí … #ClaudiaSheinbaum",0,neutro o no misogino,real,,,,,,,
Para que la pdta @USER siga negando que son un narcogobierno…,0,neutro o no misogino,real,,,,,,,
"Rocha Moya al banquillo. Respaldo, apoyo total y al 100% a mi presidenta Claudia Sheinbaum pero no puedo estar de acuerdo en todas sus decisiones. EEUU dejará ya su mamada de quitar visas y actuará con procesos penales a políticos involucrados, ahí YO SÍ estoy completamente de",0,neutro o no misogino,real,,,,,,,
"Qué magistral clase de historia le dieron a la Presidente Claudia Sheinbaum. Un aplauso para este valiente y preparado profesor que, con argumentos y conocimiento, está dando la batalla cultural contra las mentiras que el régimen ha sembrado sobre la conquista.",0,neutro o no misogino,real,,,,,,,
"Abrimos hilo sobre ¿en qué condiciones fue entregado nuestro país a @USER Sheinbaum?, es decir, ¿la 4T cumplió sus objetivos y promesas a los mexicanos?",0,neutro o no misogino,real,,,,,,,
"“La presidenta aseguró que había un abasto del 80 % de medicamentos. Eso es mentira”. Tras la visita de la presidenta Claudia Sheinbaum a Tenango, Hidalgo, donde pobladores denunciaron la falta de medicamentos y personal, el activista Ángel Vázquez asegura que la situación no",0,neutro o no misogino,real,,,,,,,
"REUNIÓN EN PALACIO NACIONAL TRAS ACUSACIONES CONTRA RUBÉN ROCHA MOYA La secretaria de Gobernación, Rosa Icela Rodríguez, arribó a Palacio Nacional para sostener una reunión con la presidenta Claudia Sheinbaum Pardo, tras las acusaciones emitidas por Estados Unidos contra Rubén",0,neutro o no misogino,real,,,,,,,
Hoy no duermen los narcos hijos de putA de @USER y su padrote @USER y su #CsrtelMorena @USER Lo #SiguesTuAMLO #NarcoGobiernoDeMorena,1,explicita,real,,,,,,,
"Dicen por ahí, que aparte de seca, Pendeja. Será?. Dicen...",1,explicita,real,,,,,,,
"Todo, todo mundo en Sinaloa y su perro saben que es narco. Creo que hasta él lo reconoció. Algo como ""el estado no se puede gobernar sin negociar con ellos"".",0,neutro o no misogino,real,,,,,,,
"Este viernes 17 de abril viajamos a Barcelona, España, para participar en la IV Cumbre en Defensa de la Democracia. La Mañanera del Pueblo estará encabezada por la secretaria de Gobernación, Rosa Icela Rodríguez Velázquez.",0,neutro o no misogino,real,,,,,,,
"Lo dicho: Son las consecuencias de andar de metiche y H0CÎC0NA Claudia Sheinbaum ha atacado más a Argentina que a los narcos. Y hoy, está a merced de Javier Milei Lo que diga el sobrino del almirante Ojeda puede destruir su gobierno y a Morena. @USER",1,explicita,real,,,,,,,
"Dirá que no hay pruebas Si mandan pruebas, las desestimará Le darán una medalla a Rocha en el Senado El Kks tendrá otra visita al Hospital Central Militar Veremos a los Trivagos en el extranjero Culpará a Calderón, Don Porfirio, Cortés, Colón y, si le insisten, Judas, Caín y Abel",0,neutro o no misogino,real,,,,,,,
